analyte,curve,technique,sweep,n_components,score_trend_degree_effective,component,explained_variance_ratio,score_trend_coefficients_desc,equation
AA,cv_normal_anodic,cv_normal,anodic,1,3,1,0.983784849298,5.15294893202e-07;-0.000256067803896;0.117088160203;-16.4510001319,"current(V,c)=mean_curve(V)+sum_j(polyval(score_coefficients_j,c)*loading_j(V))"
AA,cv_normal_cathodic,cv_normal,cathodic,1,3,1,0.975394669636,4.33233552142e-07;-0.00028436828881;0.10881012173;-12.0189484669,"current(V,c)=mean_curve(V)+sum_j(polyval(score_coefficients_j,c)*loading_j(V))"
UA,cv_gc_anodic,cv_gc,anodic,3,3,1,0.999171442404,-0.000200430088212;0.100072805431;-7.9176689869;-210.381102563,"current(V,c)=mean_curve(V)+sum_j(polyval(score_coefficients_j,c)*loading_j(V))"
UA,cv_gc_anodic,cv_gc,anodic,3,3,2,0.000781069974056,3.69286802236e-06;-0.00225136236148;0.377015962133;-15.1761108034,"current(V,c)=mean_curve(V)+sum_j(polyval(score_coefficients_j,c)*loading_j(V))"
UA,cv_gc_anodic,cv_gc,anodic,3,3,3,4.74876218073e-05,-1.30408703586e-06;0.000830926587779;-0.1198630137;1.15196994354,"current(V,c)=mean_curve(V)+sum_j(polyval(score_coefficients_j,c)*loading_j(V))"
UA,cv_gc_cathodic,cv_gc,cathodic,3,3,1,0.999660071466,-0.000200431334597;0.100172749348;-7.9733257391;-205.865480043,"current(V,c)=mean_curve(V)+sum_j(polyval(score_coefficients_j,c)*loading_j(V))"
UA,cv_gc_cathodic,cv_gc,cathodic,3,3,2,0.000310079716836,2.61036756825e-06;-0.00160301239159;0.264594430638;-9.78508292393,"current(V,c)=mean_curve(V)+sum_j(polyval(score_coefficients_j,c)*loading_j(V))"
UA,cv_gc_cathodic,cv_gc,cathodic,3,3,3,2.9848817281e-05,-9.53281603026e-07;0.000609288897412;-0.08686498232;0.611094047063,"current(V,c)=mean_curve(V)+sum_j(polyval(score_coefficients_j,c)*loading_j(V))"
UA,cv_normal_anodic,cv_normal,anodic,3,3,1,0.887337527055,-3.46628175668e-06;0.00142736092163;0.0483306143316;-20.1346638343,"current(V,c)=mean_curve(V)+sum_j(polyval(score_coefficients_j,c)*loading_j(V))"
UA,cv_normal_anodic,cv_normal,anodic,3,3,2,0.111884339827,4.15211465004e-06;-0.00239016415971;0.312849058205;-5.04105916456,"current(V,c)=mean_curve(V)+sum_j(polyval(score_coefficients_j,c)*loading_j(V))"
UA,cv_normal_anodic,cv_normal,anodic,3,3,3,0.000778133118175,-7.83383580476e-08;6.20399678136e-05;-0.0108090314499;0.0641572278815,"current(V,c)=mean_curve(V)+sum_j(polyval(score_coefficients_j,c)*loading_j(V))"
UA,cv_normal_cathodic,cv_normal,cathodic,3,3,1,0.891750050002,-9.99998357346e-07;0.000165629308959;0.14776227364;-16.3039665857,"current(V,c)=mean_curve(V)+sum_j(polyval(score_coefficients_j,c)*loading_j(V))"
UA,cv_normal_cathodic,cv_normal,cathodic,3,3,2,0.106977333683,3.08409686908e-06;-0.00175404844654;0.219808286619;-2.66367457553,"current(V,c)=mean_curve(V)+sum_j(polyval(score_coefficients_j,c)*loading_j(V))"
UA,cv_normal_cathodic,cv_normal,cathodic,3,3,3,0.00127261631523,-6.44773371549e-08;5.29360981876e-05;-0.0094455547155;0.0505383234383,"current(V,c)=mean_curve(V)+sum_j(polyval(score_coefficients_j,c)*loading_j(V))"
